epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,214.637,1.02955,0.92228,0.90275,0.78623,0.68572,0.76364,0.58255,0.94485,0.79834,0.87592,0.000186852,0.000186852,0.000186852
64,217.92,0.99642,0.90071,0.90508,0.78983,0.6639,0.80297,0.59057,0.94177,0.80544,0.87588,0.00018643,0.00018643,0.00018643
65,221.208,1.0324,0.91534,0.90399,0.74821,0.68751,0.7966,0.59257,0.92862,0.79245,0.87274,0.000186009,0.000186009,0.000186009
66,224.499,1.02084,0.92991,0.896,0.72046,0.78978,0.80594,0.60126,0.93193,0.77443,0.87127,0.000185587,0.000185587,0.000185587
67,227.803,1.00546,0.89573,0.89385,0.76704,0.71391,0.81206,0.60206,0.9328,0.75016,0.87138,0.000185165,0.000185165,0.000185165
68,231.092,1.0032,0.87677,0.89552,0.75231,0.712,0.8173,0.60227,0.93281,0.74312,0.87132,0.000184743,0.000184743,0.000184743
69,234.339,0.94938,0.87188,0.89101,0.72858,0.79104,0.822,0.606,0.93891,0.75067,0.86903,0.000184322,0.000184322,0.000184322
70,237.598,1.0012,0.85125,0.905,0.71746,0.79711,0.82501,0.60253,0.95829,0.73884,0.87151,0.0001839,0.0001839,0.0001839
71,240.89,1.00504,0.86854,0.88868,0.76497,0.78821,0.81166,0.59846,0.93656,0.73003,0.87146,0.000183478,0.000183478,0.000183478
72,244.164,0.99398,0.87047,0.89716,0.75939,0.79157,0.80328,0.59309,0.9534,0.73009,0.87114,0.000183056,0.000183056,0.000183056
73,247.421,0.96681,0.82876,0.89335,0.77315,0.74692,0.82137,0.60371,0.91746,0.70466,0.86801,0.000182635,0.000182635,0.000182635
74,250.721,0.9613,0.82902,0.89249,0.82055,0.73666,0.84434,0.62248,0.90232,0.70905,0.86541,0.000182213,0.000182213,0.000182213
75,254.039,0.98324,0.83045,0.89421,0.7073,0.81261,0.86893,0.62606,0.96686,0.71978,0.87316,0.000181791,0.000181791,0.000181791
76,257.336,0.99474,0.86331,0.89846,0.83325,0.75462,0.84914,0.6174,0.93236,0.71442,0.86683,0.000181369,0.000181369,0.000181369
77,260.604,0.99334,0.82113,0.8908,0.8995,0.71361,0.8512,0.62759,0.92481,0.70519,0.86804,0.000180948,0.000180948,0.000180948
78,263.866,0.97779,0.82835,0.89275,0.88809,0.69528,0.8441,0.61506,0.92147,0.69885,0.86908,0.000180526,0.000180526,0.000180526
79,267.172,0.96759,0.82214,0.88582,0.87886,0.71728,0.83402,0.61129,0.90177,0.6925,0.86453,0.000180104,0.000180104,0.000180104
80,270.484,0.99203,0.80694,0.89199,0.8087,0.73324,0.8383,0.61772,0.90455,0.70595,0.86243,0.000179683,0.000179683,0.000179683
81,273.785,0.97407,0.82162,0.88788,0.74638,0.83073,0.84484,0.62852,0.89622,0.69048,0.862,0.000179261,0.000179261,0.000179261
82,277.093,0.98959,0.83545,0.89348,0.73938,0.84118,0.84258,0.62555,0.89423,0.66963,0.86444,0.000178839,0.000178839,0.000178839
83,280.364,0.98162,0.79068,0.89896,0.7342,0.83485,0.84619,0.62773,0.91447,0.67983,0.8673,0.000178417,0.000178417,0.000178417
84,283.597,0.98239,0.81192,0.89771,0.77058,0.7969,0.86904,0.64182,0.89982,0.67872,0.85879,0.000177996,0.000177996,0.000177996
85,286.95,0.97322,0.81326,0.88777,0.80699,0.79825,0.87328,0.64304,0.89428,0.68647,0.85791,0.000177574,0.000177574,0.000177574
86,290.201,0.95252,0.7868,0.88961,0.84914,0.77768,0.85085,0.63185,0.90506,0.6834,0.86612,0.000177152,0.000177152,0.000177152
87,293.439,0.96684,0.79412,0.89206,0.88894,0.74337,0.85272,0.64014,0.90086,0.65963,0.86075,0.00017673,0.00017673,0.00017673
88,296.819,0.96215,0.79026,0.88591,0.75317,0.84092,0.83877,0.6222,0.90368,0.66569,0.86107,0.000176309,0.000176309,0.000176309
89,300.113,0.96074,0.78897,0.90469,0.74187,0.82945,0.85309,0.63194,0.90524,0.67577,0.86321,0.000175887,0.000175887,0.000175887
90,303.434,0.9382,0.789,0.89135,0.88028,0.73011,0.85252,0.63027,0.90454,0.68037,0.86008,0.000175465,0.000175465,0.000175465
91,306.687,0.92645,0.7616,0.87883,0.85137,0.72539,0.83256,0.61239,0.90547,0.67751,0.8607,0.000175043,0.000175043,0.000175043
92,310.035,0.96168,0.76398,0.88705,0.86684,0.73698,0.83444,0.62079,0.88284,0.66752,0.85844,0.000174622,0.000174622,0.000174622
93,313.388,0.9577,0.77104,0.88888,0.86689,0.76485,0.84997,0.63821,0.88589,0.65226,0.8604,0.0001742,0.0001742,0.0001742
94,316.826,0.93562,0.7701,0.88616,0.8725,0.76726,0.85063,0.63238,0.88939,0.65983,0.8586,0.000173778,0.000173778,0.000173778
95,320.475,0.93661,0.74873,0.8818,0.89807,0.76958,0.87364,0.65613,0.87616,0.6656,0.85477,0.000173356,0.000173356,0.000173356
